ID,Probability of 1
1,0.23970499649175575
2,0.49292689345370355
3,0.5301265153862318
4,0.5715007665200067
5,0.22802851861152354
6,0.2765268518479115
7,0.6594599021663403
8,0.36606371053775755
9,0.22695801499977666
10,0.6373835844683878
11,0.4172749474175278
12,0.5817780549297494
13,0.46269622974235325
14,0.49816272757270175
15,0.13129877062268075
16,0.606933759081241
17,0.18161072711228185
18,0.3941705753538979
19,0.278712675436
20,0.1667769779656348
21,0.12490523760268238
22,0.14191369823436947
23,0.5453911699896513
24,0.5759936570221147
25,0.45733051415303405
26,0.6455405191124179
27,0.618806113907595
28,0.6124736415110084
29,0.6193978432238032
30,0.43442032256601293
31,0.6206267295121115
32,0.37790330652528825
33,0.31616274093050867
34,0.4001017990291623
35,0.435443120620128
36,0.6232888413791909
37,0.6630991084323192
38,0.18129639156692928
39,0.35017364937522233
40,0.5262464337691839
41,0.22721693043080124
42,0.4543967468991411
43,0.5194949688384206
44,0.17619799319270263
45,0.7163030623568041
46,0.7043090934382004
47,0.6500549737771834
48,0.5698533437882851
49,0.13327306046864465
50,0.37648777073352097
51,0.6590412975945458
52,0.13648734511787053
53,0.35964841957650834
54,0.12168197181987886
55,0.4484551944118764
56,0.1542237002757075
57,0.32445943141737354
58,0.19236458428573708
59,0.596269132076314
60,0.5315130066610411
61,0.1738808194358577
62,0.14496674997234854
63,0.4469242496504492
64,0.16172258842276563
65,0.46024745282158896
66,0.596220056560019
67,0.41727238994318594
68,0.5935864733160648
69,0.6058812462030378
70,0.2053929091441688
71,0.15540670121958944
72,0.1788618719016049
73,0.1193688623160378
74,0.12161391669614618
75,0.6313341192742267
76,0.2965852492621927
77,0.5368165531304661
78,0.4948262409859242
79,0.6754663395298615
80,0.6529385777267226
81,0.5311474077604912
82,0.5190805308758263
83,0.3977358197409013
84,0.42291145287641907
85,0.19385469462903243
86,0.14384836807667933
87,0.5155775996659868
88,0.3386723731739855
89,0.41567396879539065
90,0.5862048904693011
91,0.5680430073588506
